Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
step 0: train loss 10.8320, val loss 10.8321
iter 122: loss 9.8832, time 2074.32ms, mfu -100.00%
iter 123: loss 10.0406, time 2074.61ms, mfu -100.00%
iter 124: loss 9.7908, time 2074.58ms, mfu -100.00%
iter 125: loss 9.8751, time 2074.41ms, mfu -100.00%
iter 126: loss 9.7692, time 2071.90ms, mfu -100.00%
iter 127: loss 9.8416, time 2076.82ms, mfu -100.00%
iter 128: loss 9.7983, time 2072.06ms, mfu -100.00%
iter 129: loss 9.8532, time 2074.65ms, mfu -100.00%
iter 130: loss 9.6599, time 2075.08ms, mfu -100.00%
iter 131: loss 9.6603, time 2073.28ms, mfu -100.00%
iter 132: loss 9.8364, time 2081.65ms, mfu -100.00%
iter 133: loss 9.7207, time 2075.79ms, mfu -100.00%
iter 134: loss 9.8128, time 2075.29ms, mfu -100.00%
iter 135: loss 9.7330, time 2075.05ms, mfu -100.00%
iter 136: loss 9.7085, time 2074.74ms, mfu -100.00%
iter 137: loss 9.7279, time 2075.20ms, mfu -100.00%
iter 138: loss 9.5208, time 2072.31ms, mfu -100.00%
iter 139: loss 9.5112, time 2074.36ms, mfu -100.00%
iter 140: loss 9.6019, time 2075.19ms, mfu -100.00%
iter 141: loss 9.6440, time 2075.48ms, mfu -100.00%
iter 142: loss 9.7238, time 2078.27ms, mfu -100.00%
iter 143: loss 9.6075, time 2075.31ms, mfu -100.00%
iter 144: loss 9.5043, time 2074.11ms, mfu -100.00%
iter 145: loss 9.3995, time 2076.26ms, mfu -100.00%
iter 146: loss 9.7399, time 2072.77ms, mfu -100.00%
iter 147: loss 9.6362, time 2074.83ms, mfu -100.00%
iter 148: loss 9.5475, time 2074.91ms, mfu -100.00%
iter 149: loss 9.6032, time 2074.25ms, mfu -100.00%
iter 150: loss 9.5482, time 2075.41ms, mfu -100.00%
iter 151: loss 9.3970, time 2074.61ms, mfu -100.00%
iter 152: loss 9.3013, time 2073.41ms, mfu -100.00%
iter 153: loss 9.3046, time 2075.65ms, mfu -100.00%
iter 154: loss 9.3038, time 2072.80ms, mfu -100.00%
iter 155: loss 9.2540, time 2074.78ms, mfu -100.00%
iter 156: loss 9.4950, time 2073.66ms, mfu -100.00%
iter 157: loss 9.3918, time 2077.76ms, mfu -100.00%
iter 158: loss 9.4603, time 2073.83ms, mfu -100.00%
iter 159: loss 9.3680, time 2076.29ms, mfu -100.00%
iter 160: loss 8.9937, time 2072.74ms, mfu -100.00%
iter 161: loss 9.3672, time 2074.66ms, mfu -100.00%
iter 162: loss 9.3216, time 2074.92ms, mfu -100.00%
iter 163: loss 9.3561, time 2074.95ms, mfu -100.00%
iter 164: loss 9.2562, time 2074.35ms, mfu -100.00%
iter 165: loss 9.3320, time 2075.32ms, mfu -100.00%
iter 166: loss 9.1021, time 2073.72ms, mfu -100.00%
iter 167: loss 9.0908, time 2075.63ms, mfu -100.00%
iter 168: loss 9.5654, time 2074.24ms, mfu -100.00%
iter 169: loss 9.0566, time 2074.58ms, mfu -100.00%
iter 170: loss 9.2998, time 2075.48ms, mfu -100.00%
iter 171: loss 9.4248, time 2076.67ms, mfu -100.00%
iter 172: loss 9.1423, time 2074.71ms, mfu -100.00%
iter 173: loss 9.2008, time 2077.74ms, mfu -100.00%
iter 174: loss 9.2172, time 2072.75ms, mfu -100.00%
iter 175: loss 8.9342, time 2074.45ms, mfu -100.00%
iter 176: loss 8.7892, time 2074.08ms, mfu -100.00%
iter 177: loss 9.0545, time 2077.51ms, mfu -100.00%
iter 178: loss 9.0100, time 2074.32ms, mfu -100.00%
iter 179: loss 8.5938, time 2075.67ms, mfu -100.00%
iter 180: loss 8.7848, time 2075.40ms, mfu -100.00%
iter 181: loss 8.8179, time 2075.67ms, mfu -100.00%
iter 182: loss 8.9620, time 2075.01ms, mfu -100.00%
iter 183: loss 9.2026, time 2074.43ms, mfu -100.00%
iter 184: loss 9.0488, time 2078.25ms, mfu -100.00%
iter 185: loss 8.6885, time 2077.11ms, mfu -100.00%
iter 186: loss 8.8408, time 2076.20ms, mfu -100.00%
iter 187: loss 8.6746, time 2074.79ms, mfu -100.00%
iter 188: loss 8.7183, time 2073.64ms, mfu -100.00%
iter 189: loss 8.7904, time 2076.10ms, mfu -100.00%
iter 190: loss 8.6929, time 2074.66ms, mfu -100.00%
iter 191: loss 8.7455, time 2076.52ms, mfu -100.00%
iter 192: loss 8.4655, time 2076.78ms, mfu -100.00%
iter 193: loss 9.0934, time 2075.00ms, mfu -100.00%
iter 194: loss 8.5851, time 2074.13ms, mfu -100.00%
iter 195: loss 8.6089, time 2075.85ms, mfu -100.00%
iter 196: loss 8.6811, time 2075.25ms, mfu -100.00%
iter 197: loss 8.6868, time 2075.75ms, mfu -100.00%
iter 198: loss 8.5937, time 2073.51ms, mfu -100.00%
iter 199: loss 8.6695, time 2076.08ms, mfu -100.00%
iter 200: loss 8.6764, time 2075.11ms, mfu -100.00%
iter 201: loss 8.4764, time 2074.34ms, mfu -100.00%
iter 202: loss 8.6632, time 2076.97ms, mfu -100.00%
iter 203: loss 8.4945, time 2078.44ms, mfu -100.00%
iter 204: loss 8.5883, time 2072.00ms, mfu -100.00%
iter 205: loss 8.5731, time 2075.29ms, mfu -100.00%
iter 206: loss 8.3288, time 2074.72ms, mfu -100.00%
iter 207: loss 8.6399, time 2076.45ms, mfu -100.00%
iter 208: loss 8.2051, time 2073.63ms, mfu -100.00%
iter 209: loss 8.6653, time 2073.52ms, mfu -100.00%
iter 210: loss 8.3953, time 2074.05ms, mfu -100.00%
iter 211: loss 8.3757, time 2080.12ms, mfu -100.00%
iter 212: loss 8.3233, time 2076.08ms, mfu -100.00%
iter 213: loss 8.6214, time 2074.84ms, mfu -100.00%
iter 214: loss 8.1884, time 2072.52ms, mfu -100.00%
